Serial_Number,Stock_Symbol_Name
477,Syschem (India)
478,India Pesticides
479,S J Logistics (I
480,HDFC AMC
481,BCL Industries
482,Salzer Electron.
483,Vaswani Industri
484,Titan Company
485,Indo US Bio-Tech
486,Wanbury
487,Orient Cement
488,Mangalam Organic
489,Cantabil Retail
490,Shreeji Ship. Gl
491,Prestige Estates
492,Saksoft
493,Kapston Services
494,Shankar Lal Ram.
495,Rama Phosphates
496,Firstsour.Solu.
497,Vivo Bio Tech
498,S H Kelkar & Co.
499,FSN E-Commerce
500,Jubilant Agri
501,Savera Industrie
502,Brightcom Group
503,Jagsonpal Pharma
504,Thyrocare Tech.
505,DDev Plastiks
506,Archit Organosys
507,Bimetal Bearings
508,Resonance Speci.
509,KM Sugar Mills
510,Universal Cables
511,TVS Holdings
512,Lodha Developers
513,P. H. Capital
514,Kalyan Capitals
515,M & M
516,GNG Electronics
517,Mold-Tek Pack.
518,Allied Digital
519,Cartrade Tech
520,Rallis India
521,Bhartiya Intl.
522,MTAR Technologie
523,Shanti Gold
524,Standard Glass
525,Brigade Hotel
526,Force Motors
527,Cyber Media Res.
528,Allied Blenders
529,Persistent Syste
530,Valiant Organics
531,Yatharth Hospit.
532,Bella Casa Fashi
533,Oricon Enterpris
534,Mahalaxmi Rubtec
535,Heubach Colorant
536,Kings Infra
537,Venus Remedies
538,Star Cement
539,AGI Greenpac
540,Bajaj Finance
541,JSW Infrast
542,Atishay
543,DEE Development
544,Vishal Mega Mart
545,MRP Agro
546,Dr Agarwal's Hea
547,Banco Products
548,Marine Electric.
549,India Nipp.Elec.
550,Privi Speci.
551,Schloss Bangal.
552,Vijaya Diagnost.
553,Mangalam World.
554,Dhanlaxmi Bank
555,Siemens Ener.Ind
556,Incredible Indus
557,HCP Plastene
558,Windlas Biotech
559,M E T S
560,C.E. Info System
561,Ashapuri Gold
562,Global Health
563,Sagar Cements
564,Chemfab Alka.
565,eClerx Services
566,Affle 3i
567,Silky Overseas
568,J K Cements
569,P & G Health Ltd
570,Harri. Malayalam
571,Dollar Industrie
572,Aether Industri.
573,Machino Plastics
574,Aries Agro
575,CARE Ratings
576,Commerl. Synbags
577,Compucom Soft.
578,D & H India
579,Brigade Enterpr.
580,Pro Fin Capital
581,Fiberweb (India)
582,Prozone Realty
583,Mangalam Cement
584,Piramal Enterp.
585,Kovai Medical
586,Acme Resources
587,Fidel Softech
588,Bharti Hexacom
589,Bajaj Housing
590,TVS Motor Co.
591,Omax Autos
592,Makers Labs.
593,Motil.Oswal.Fin.
594,NINtec Systems
595,Dynemic Products
596,Mindspace Busine
597,Prevest Denpro
598,Gandhi Spl. Tube
599,Lemon Tree Hotel
600,Ramco Systems
601,Uno Minda
602,NTPC Green Ene.
603,Gokul Refoils
604,Cybele Industrie
605,Navkar Corporat.
606,Suprajit Engg.
607,Dhunseri Tea
608,Enviro Infra
609,Autoriders Intl.
610,Spright Agro
611,Acutaas Chemical
612,Vakrangee
613,Nahar Poly
614,TPL Plastech
615,Veranda Learning
616,Voith Paper
617,Vikran Engg.
618,Jubilant Food.
619,Dr Agarwal's Eye
620,Info Edg.(India)
621,Sterlite Tech.
622,Vishal Fabrics
623,East India Drums
624,Prec. Wires (I)
625,Mefcom Capital
626,Choice Intl.
627,Fortis Health.
628,Deepak Fertilis.
629,Greaves Cotton
630,Menon Bearings
631,GVP Infotech
632,GE Power
633,Primo Chemicals
634,Aditya Infotech
635,Century Plyboard
636,Kaira Can
637,Brahmaputra Inf.
638,Snowman Logistic
639,Cosmo First
640,Arvind Fashions.
641,Northern Spirits
642,La Tim Metal & I
643,Grasim Inds
644,Bang Overseas
645,International Ge
646,Intellect Design
647,Emcure Pharma
648,HBL Engineering
649,Hitech Corp.
650,Inventurus Knowl
651,ITC Hotels
652,Larsen & Toubro
653,Chambal Fert.
654,Power Fin.Corpn.
655,Upsurge Invest.
656,InfoBeans Tech.
657,Anand Rathi Wea.
658,Pennar Industrie
659,Par Drugs & Che.
660,Artemis Medicare
661,Modison
662,SEPC
663,Aptech
